,time_to_failure
0,1.4307972192764282
1,1.4265986680984497
2,1.423395752906799
3,1.4190973043441772
4,1.4148987531661987
5,1.4116958379745483
6,1.4073972702026367
7,1.4031988382339478
8,1.3999958038330078
9,1.3956973552703855
10,1.3914989233016968
11,1.3882958889007568
12,1.3839974403381348
13,1.3797990083694458
14,1.376595973968506
15,1.3722975254058838
16,1.3680989742279053
17,1.3648960590362549
18,1.3605976104736328
19,1.3563990592956543
20,1.3531961441040041
21,1.3488975763320925
22,1.344699144363403
23,1.3414961099624634
24,1.3371976613998413
25,1.3328992128372192
26,1.3297961950302124
27,1.3254977464675903
28,1.3211992979049685
29,1.3180962800979614
30,1.3137978315353394
31,1.3094993829727173
32,1.3062963485717771
33,1.3020979166030884
34,1.2977993488311768
35,1.2945964336395264
36,1.290397882461548
37,1.2860994338989258
38,1.2828965187072754
39,1.2786979675292969
40,1.2743995189666748
41,1.2711964845657349
42,1.266998052597046
43,1.2626996040344238
44,1.259496569633484
45,1.255298137664795
46,1.2509996891021729
47,1.247796654701233
48,1.243598222732544
49,1.2392996549606323
50,1.236096739768982
51,1.2318981885910034
52,1.2275997400283811
53,1.224396824836731
54,1.2201982736587524
55,1.2158998250961304
56,1.2126967906951904
57,1.2084983587265017
58,1.2041999101638794
59,1.2009968757629397
60,1.1967984437942505
61,1.1924999952316284
62,1.1892969608306885
63,1.1850985288619995
64,1.1818954944610596
65,1.1775970458984375
66,1.173398494720459
67,1.1701955795288086
68,1.1658971309661863
69,1.161598563194275
70,1.1584956645965576
71,1.154197096824646
72,1.1498986482620241
73,1.146795630455017
74,1.142497181892395
75,1.138198733329773
76,1.134995698928833
77,1.130797266960144
78,1.126498818397522
79,1.123295783996582
80,1.119097352027893
81,1.114798903465271
82,1.111595869064331
83,1.107397437095642
84,1.1030988693237305
85,1.09989595413208
86,1.0956974029541016
87,1.0913989543914795
88,1.088196039199829
89,1.0839974880218506
90,1.0796990394592283
91,1.0764960050582886
92,1.0722975730895996
93,1.0679991245269775
94,1.0647960901260376
95,1.0605976581573486
96,1.0562992095947266
97,1.0530961751937866
98,1.0488977432250977
99,1.0445991754531858
100,1.0413962602615356
101,1.0371977090835571
102,1.032899260520935
103,1.029696345329285
104,1.0254977941513062
105,1.021199345588684
106,1.017996311187744
